registration_no,book_no,book_label,district,office,deed_type,registration_date,presentation_date,consideration_amount,old_reg_no,year,has_scan,has_pdf,source
931709600059,3,WILL,UNKNOWN,UNKNOWN,OPEN WILL,,,,,1996,True,True,render_gcs_ingest
940599700050,4,MISC,GANJAM,BHANJANAGAR,ADOPTION,09-Jun-1997,,,50,1997,True,True,render_gcs_ingest
940390200115,4,MISC,UNKNOWN,UNKNOWN,ADOPTION,,,,,2002,True,True,render_gcs_ingest
931690100014,3,WILL,SUBARNAPUR,RAMPUR,OPEN WILL,19-Oct-2001,19-Oct-2001,,14,2001,True,True,render_gcs_ingest
930610500163,3,WILL,GANJAM,BERHAMPUR-I,OPEN WILL,24-Oct-2005,21-Oct-2005,,,2005,True,False,render_gcs_ingest
930649500027,3,WILL,GANJAM,HINJILI,OPEN WILL,18-Nov-1995,18-Nov-1995,,27,1995,True,True,render_gcs_ingest
941080200643,4,MISC,KHURDA,KHURDA(BBSR),GENERAL AGREEMENT,22-Mar-2002,18-Mar-2002,120000,643,2002,True,True,render_gcs_ingest
940399500351,4,MISC,UNKNOWN,CUTTACK,GENERAL AGREEMENT,,11-Dec-1995,,,1995,True,True,render_gcs_ingest
941009700006,4,MISC,UNKNOWN,UNKNOWN,GENERAL POA WITHOUT PROPERTY,,,,,1997,True,False,render_gcs_ingest
940860200003,4,MISC,UNKNOWN,UNKNOWN,GENERAL POA WITHOUT PROPERTY,,,,,2002,True,True,render_gcs_ingest
940069800032,4,MISC,BALASORE,BALASORE,GENERAL AGREEMENT,25-Mar-1998,25-Mar-1998,,32,1998,True,True,render_gcs_ingest
941080200506,4,MISC,UNKNOWN,UNKNOWN,PARTNERSHIP MORE THAN RS.500,,,,,2002,True,True,render_gcs_ingest
940069500152,4,MISC,UNKNOWN,BALASORE,GENERAL POA WITHOUT PROPERTY,,,,,1995,True,True,render_gcs_ingest
941080200249,4,MISC,KHURDA,KHURDA(BBSR),GENERAL POA WITHOUT PROPERTY,08-Feb-2002,01-Feb-2002,,249,2002,True,True,render_gcs_ingest
941080200264,4,MISC,KHURDA,KHURDA(BBSR),GENERAL POA WITHOUT PROPERTY,08-Feb-2002,02-Feb-2002,,264,2002,True,True,render_gcs_ingest
