registration_no,book_no,district,office,deed_type,registration_date,presentation_date,consideration_amount,old_reg_no,deed_volume_no,listed_on
930390600078,3,KATAKA,KATAKA,OPEN WILL,01-Nov-2006,01-Nov-2006,0,78,4,01-Nov-2006
930570500210,3,GANJAM,CHHATRAPUR,OPEN WILL,19-Jan-2005,19-Jan-2005,0,210,50,19-Jan-2005
931260500062,3,MAYURBHANJ,MAYURBHANJ,OPEN WILL,01-Oct-2005,01-Oct-2005,0,62,97,01-Oct-2005
931530100011,3,PURI,PIPILI,OPEN WILL,15-May-2001,15-May-2001,0,11,1,15-May-2001
930310200073,3,BALANGIR,BALANGIR,OPEN WILL,11-Dec-2002,11-Dec-2002,0,73,3,11-Dec-2002
931230500007,3,MALKANGIRI,MALKANAGIRI,OPEN WILL,14-Jan-2005,14-Jan-2005,0,7,0,14-Jan-2005
931480600053,3,PURI,PURI,OPEN WILL,15-Dec-2006,15-Dec-2006,0,53,2,15-Dec-2006
930600400166,3,GANJAM,BRAHMAPUR-II,OPEN WILL,28-Jun-2004,28-Jun-2004,0,166,103,28-Jun-2004
930680300004,3,GANJAM,PURUSOTTAMPUR,OPEN WILL,20-Jan-2003,20-Jan-2003,0,4,24,20-Jan-2003
930630100026,3,GANJAM,DIGAPAHANDI,OPEN WILL,15-Oct-2001,15-Oct-2001,0,26,22,15-Oct-2001
930640300012,3,GANJAM,HINJILIKATU,OPEN WILL,11-Mar-2003,11-Mar-2003,0,12,23,11-Mar-2003
931080600087,3,KHORDHA,KHORDHA(BBSR),OPEN WILL,07-Aug-2006,07-Aug-2006,0,87,2,07-Aug-2006
931680200008,3,SUBARNAPUR,BINIKA,OPEN WILL,19-Jun-2002,19-Jun-2002,0,8,1,19-Jun-2002
930570401803,3,GANJAM,CHHATRAPUR,OPEN WILL,24-May-2004,24-May-2004,0,1803,48,24-May-2004
930860500005,3,JHARSUGUDA,JHARSUGUDA,OPEN WILL,24-Jan-2005,24-Jan-2005,0,5,1,24-Jan-2005
930570500245,3,GANJAM,CHHATRAPUR,OPEN WILL,24-Jan-2005,24-Jan-2005,0,245,50,24-Jan-2005
930310600023,3,BALANGIR,BALANGIR,OPEN WILL,01-Mar-2006,01-Mar-2006,0,23,2,01-Mar-2006
931620300034,3,SAMBALPUR,SAMBALPUR,OPEN WILL,05-May-2003,05-May-2003,0,34,23,05-May-2003
930570200062,3,GANJAM,CHHATRAPUR,OPEN WILL,12-Sep-2002,12-Sep-2002,0,62,44,12-Sep-2002
931140600019,3,KHORDHA,KHORDHA,OPEN WILL,11-Sep-2006,11-Sep-2006,0,19,1,11-Sep-2006
930780600658,3,JAJPUR,JAJPUR,OPEN WILL,04-Apr-2006,04-Apr-2006,0,658,1,04-Apr-2006
931370300042,3,NAYAGADA,NAYAGADA,OPEN WILL,31-Dec-2003,31-Dec-2003,0,42,2,31-Dec-2003
930550600003,3,GAJAPATI,PARALAKHEMUNDI,OPEN WILL,03-Feb-2006,03-Feb-2006,0,3,3,03-Feb-2006
931190600033,3,KORAPUT,KORAPUT,OPEN WILL,05-Dec-2006,05-Dec-2006,0,33,3,05-Dec-2006
930390600008,3,KATAKA,KATAKA,OPEN WILL,10-Mar-2006,10-Mar-2006,0,8,1,10-Mar-2006
930670500009,3,GANJAM,PATRAPUR,OPEN WILL,09-May-2005,09-May-2005,0,9,24,09-May-2005
930390500031,3,KATAKA,KATAKA,OPEN WILL,24-May-2005,24-May-2005,0,31,2,24-May-2005
931660000014,3,SUBARNAPUR,SONPUR,OPEN WILL,15-May-2000,15-May-2000,0,14,1,15-May-2000
931130300024,3,KHORDHA,KHANDAGIRI,OPEN WILL,12-Sep-2003,12-Sep-2003,0,24,1,12-Sep-2003
930680600024,3,GANJAM,PURUSOTTAMPUR,OPEN WILL,24-May-2006,24-May-2006,0,24,29,24-May-2006
931260500069,3,MAYURBHANJ,MAYURBHANJ,OPEN WILL,30-Nov-2005,30-Nov-2005,0,69,2,30-Nov-2005
930610600161,3,GANJAM,BRAHMAPUR-I,OPEN WILL,27-Sep-2006,27-Sep-2006,0,161,79,27-Sep-2006
930570502775,3,GANJAM,CHHATRAPUR,OPEN WILL,17-Aug-2005,17-Aug-2005,0,2775,51,17-Aug-2005
931190500016,3,KORAPUT,KORAPUT,OPEN WILL,01-Oct-2005,01-Oct-2005,0,16,2,01-Oct-2005
931480100001,3,PURI,PURI,OPEN WILL,30-Jan-2001,30-Jan-2001,0,1,1,30-Jan-2001
930640300006,3,GANJAM,HINJILIKATU,OPEN WILL,20-Feb-2003,20-Feb-2003,0,6,23,20-Feb-2003
930610300150,3,GANJAM,BRAHMAPUR-I,OPEN WILL,22-Sep-2003,22-Sep-2003,0,150,64,22-Sep-2003
930310200053,3,BALANGIR,BALANGIR,OPEN WILL,28-Aug-2002,28-Aug-2002,0,53,3,28-Aug-2002
931260400035,3,MAYURBHANJ,MAYURBHANJ,OPEN WILL,05-Nov-2004,05-Nov-2004,0,35,2,05-Nov-2004
930710200003,3,GANJAM,CHIKITI,OPEN WILL,15-Feb-2002,15-Feb-2002,0,3,4,15-Feb-2002
931370300031,3,NAYAGADA,NAYAGADA,OPEN WILL,01-Oct-2003,01-Oct-2003,0,31,2,01-Oct-2003
931180600008,3,KORAPUT,BARIGUMA,OPEN WILL,24-Apr-2006,24-Apr-2006,0,8,6,24-Apr-2006
930670300010,3,GANJAM,PATRAPUR,OPEN WILL,27-Jun-2003,27-Jun-2003,0,10,22,27-Jun-2003
931670200019,3,SUBARNAPUR,BIRMAHARAJPUR,OPEN WILL,19-Jun-2002,19-Jun-2002,0,19,1,19-Jun-2002
931200500054,3,KORAPUT,KOTPAD,OPEN WILL,15-Jul-2005,15-Jul-2005,0,54,13,15-Jul-2005
930550600031,3,GAJAPATI,PARALAKHEMUNDI,OPEN WILL,13-Jun-2006,13-Jun-2006,0,31,2,13-Jun-2006
930590600044,3,GANJAM,BHANJANAGAR,OPEN WILL,01-Sep-2006,01-Sep-2006,0,44,29,01-Sep-2006
930310600087,3,BALANGIR,BALANGIR,OPEN WILL,15-Nov-2006,15-Nov-2006,0,87,4,15-Nov-2006
930640100017,3,GANJAM,HINJILIKATU,OPEN WILL,29-Jun-2001,29-Jun-2001,0,17,21,29-Jun-2001
931370500073,3,NAYAGADA,NAYAGADA,OPEN WILL,30-Nov-2005,30-Nov-2005,0,73,02,30-Nov-2005
931080300039,3,KHORDHA,KHORDHA(BBSR),OPEN WILL,23-Aug-2003,23-Aug-2003,0,39,10,23-Aug-2003
930610600160,3,GANJAM,BRAHMAPUR-I,OPEN WILL,27-Sep-2006,27-Sep-2006,0,160,79,27-Sep-2006
930860200056,3,JHARSUGUDA,JHARSUGUDA,OPEN WILL,24-Jul-2002,24-Jul-2002,0,56,2,24-Jul-2002
931660100033,3,SUBARNAPUR,SONPUR,OPEN WILL,06-Nov-2001,06-Nov-2001,0,33,2,06-Nov-2001
931170500050,3,KORAPUT,JAYAPUR,OPEN WILL,12-Aug-2005,12-Aug-2005,0,50,26,12-Aug-2005
930430000007,3,KATAKA,JAGATPUR,OPEN WILL,22-Sep-2000,22-Sep-2000,0,7,1,22-Sep-2000
930430100008,3,KATAKA,JAGATPUR,OPEN WILL,16-Nov-2001,16-Nov-2001,0,8,1,16-Nov-2001
931080400065,3,KHORDHA,KHORDHA(BBSR),OPEN WILL,23-Jul-2004,23-Jul-2004,0,65,2,23-Jul-2004
930610300001,3,GANJAM,BRAHMAPUR-I,OPEN WILL,02-Jan-2003,31-Dec-2003,0,1,61,31-Dec-2003
931690100011,3,SUBARNAPUR,RAMPUR,OPEN WILL,29-Jun-2001,29-Jun-2001,0,11,1,29-Jun-2001
931100300004,3,KHORDHA,BANAPUR,OPEN WILL,31-Dec-2003,31-Dec-2003,0,4,1,31-Dec-2003
931680200017,3,SUBARNAPUR,BINIKA,OPEN WILL,06-Dec-2002,06-Dec-2002,0,17,2,06-Dec-2002
931160600004,3,KHORDHA,BOLAGADA,OPEN WILL,08-Feb-2006,08-Feb-2006,0,4,44,08-Feb-2006
931700200086,3,SUNDARAGADA,SUNDARAGADA,OPEN WILL,28-Dec-2002,28-Dec-2002,0,86,3,28-Dec-2002
931620500092,3,SAMBALPUR,SAMBALPUR,OPEN WILL,21-Oct-2005,21-Oct-2005,0,92,4,21-Oct-2005
930830500006,3,JAJPUR,MANSADA,OPEN WILL,21-Sep-2005,21-Sep-2005,0,6,1,21-Sep-2005
930290300001,3,BHADRAK,DHUSURI,OPEN WILL,24-Jun-2003,24-Jun-2003,11200,1,01,24-Jun-2003
930860500028,3,JHARSUGUDA,JHARSUGUDA,CANCELLATION OF OPEN WILL,29-Apr-2005,29-Apr-2005,0,28,2,29-Apr-2005
931080600133,3,KHORDHA,KHORDHA(BBSR),OPEN WILL,15-Nov-2006,15-Nov-2006,0,133,11,15-Nov-2006
930670300005,3,GANJAM,PATRAPUR,OPEN WILL,06-Mar-2003,06-Mar-2003,0,5,22,06-Mar-2003
930500300040,3,DHENKANAL,DHENKANAL,OPEN WILL,14-Jan-2003,15-Dec-2003,0,40,2,15-Dec-2003
931390600021,3,NAYAGADA,KHANDAPARA,OPEN WILL,26-Sep-2006,26-Sep-2006,0,21,1,26-Sep-2006
931170100028,3,KORAPUT,JAYAPUR,OPEN WILL,25-Apr-2001,25-Apr-2001,0,28,18,25-Apr-2001
930650200007,3,GANJAM,KABISURYANAGAR,OPEN WILL,28-May-2002,28-May-2002,0,7,15,28-May-2002
930760300003,3,JAGATSINGHPUR,RAGHUNATHPUR,OPEN WILL,14-Jul-2003,14-Jul-2003,0,3,1,14-Jul-2003
931700300031,3,SUNDARAGADA,SUNDARAGADA,OPEN WILL,06-Mar-2003,06-Mar-2003,0,31,2,06-Mar-2003
930790500010,3,JAJPUR,BARACHANA,OPEN WILL,21-Oct-2005,21-Oct-2005,0,10,1,21-Oct-2005
931200600025,3,KORAPUT,KOTPAD,OPEN WILL,09-May-2006,09-May-2006,0,25,14,09-May-2006
930640600002,3,GANJAM,HINJILIKATU,OPEN WILL,15-Feb-2006,15-Feb-2006,0,2,25,15-Feb-2006
931179900043,3,KORAPUT,JAYAPUR,OPEN WILL,05-Feb-2000,05-Feb-2000,0,43,17,05-Feb-2000
931700600066,3,SUNDARAGADA,SUNDARAGADA,OPEN WILL,30-Mar-2006,30-Mar-2006,0,66,3,30-Mar-2006
930310500020,3,BALANGIR,BALANGIR,OPEN WILL,28-Feb-2005,28-Feb-2005,0,20,2,28-Feb-2005
930390200072,3,KATAKA,KATAKA,OPEN WILL,26-Nov-2002,26-Nov-2002,0,72,3,26-Nov-2002
931530100017,3,PURI,PIPILI,OPEN WILL,01-Dec-2001,01-Dec-2001,0,17,2,01-Dec-2001
931580500011,3,RAYAGADA,RAYAGADA,OPEN WILL,28-Mar-2005,28-Mar-2005,0,11,09,28-Mar-2005
930270600004,3,BHADRAK,CHANDBALI,OPEN WILL,28-Jun-2006,28-Jun-2006,0,4,1,28-Jun-2006
930570400291,3,GANJAM,CHHATRAPUR,OPEN WILL,04-Feb-2004,04-Feb-2004,0,291,47,04-Feb-2004
931080600115,3,KHORDHA,KHORDHA(BBSR),OPEN WILL,26-Sep-2006,26-Sep-2006,0,115,2,26-Sep-2006
931480600007,3,PURI,PURI,OPEN WILL,15-Feb-2006,15-Feb-2006,0,7,1,15-Feb-2006
930860600046,3,JHARSUGUDA,JHARSUGUDA,OPEN WILL,29-May-2006,29-May-2006,0,46,2,29-May-2006
931200000021,3,KORAPUT,KOTPAD,OPEN WILL,30-May-2000,30-May-2000,0,21,6,30-May-2000
930600200206,3,GANJAM,BRAHMAPUR-II,OPEN WILL,07-Sep-2002,07-Sep-2002,0,206,93,07-Sep-2002
931620500026,3,SAMBALPUR,SAMBALPUR,OPEN WILL,28-Feb-2005,28-Feb-2005,0,26,1,28-Feb-2005
930880500053,3,KALAHANDI,BHABANIPATANA,OPEN WILL,30-Dec-2005,30-Dec-2005,1500000,53,11,30-Dec-2005
931080600119,3,KHORDHA,KHORDHA(BBSR),OPEN WILL,11-Oct-2006,11-Oct-2006,0,119,2,11-Oct-2006
930310400027,3,BALANGIR,BALANGIR,OPEN WILL,15-Apr-2004,15-Apr-2004,0,27,2,15-Apr-2004
930860300047,3,JHARSUGUDA,JHARSUGUDA,OPEN WILL,27-Sep-2003,27-Sep-2003,0,47,2,27-Sep-2003
931480500064,3,PURI,PURI,OPEN WILL,28-Dec-2005,28-Dec-2005,0,64,2,28-Dec-2005
930730400001,3,JAGATSINGHPUR,BALIKUDA,OPEN WILL,19-Feb-2004,19-Feb-2004,0,1,1,19-Feb-2004
930570000017,3,GANJAM,CHHATRAPUR,OPEN WILL,31-Mar-2000,31-Mar-2000,0,17,38,31-Mar-2000
930550500004,3,GAJAPATI,PARALAKHEMUNDI,OPEN WILL,01-Feb-2005,01-Feb-2005,0,4,1,01-Feb-2005
931330300031,3,NABARANGPUR,NABARANGPUR,OPEN WILL,18-Aug-2003,18-Aug-2003,0,31,12,18-Aug-2003
930490000011,3,DEBAGADA,DEBAGADA,OPEN WILL,20-May-2000,20-May-2000,0,11,2,20-May-2000
930640500017,3,GANJAM,HINJILIKATU,OPEN WILL,18-Jun-2005,18-Jun-2005,0,17,25,18-Jun-2005
930680500040,3,GANJAM,PURUSOTTAMPUR,OPEN WILL,06-Oct-2005,06-Oct-2005,0,40,28,06-Oct-2005
930390500045,3,KATAKA,KATAKA,OPEN WILL,15-Jul-2005,15-Jul-2005,0,45,2,15-Jul-2005
930080600003,3,BALESHWAR,BASTA,OPEN WILL,01-Dec-2006,01-Dec-2006,0,3,1,01-Dec-2006
930570200061,3,GANJAM,CHHATRAPUR,OPEN WILL,07-Sep-2002,07-Sep-2002,0,61,44,07-Sep-2002
930860000013,3,JHARSUGUDA,JHARSUGUDA,OPEN WILL,15-Feb-2000,15-Feb-2000,0,13,9,15-Feb-2000
930860400017,3,JHARSUGUDA,JHARSUGUDA,OPEN WILL,20-Feb-2004,20-Feb-2004,0,17,2,20-Feb-2004
930560500005,3,GAJAPATI,R.UDAYAGIRI,OPEN WILL,16-Sep-2005,16-Sep-2005,0,5,3,16-Sep-2005
931690200015,3,SUBARNAPUR,RAMPUR,OPEN WILL,13-Aug-2002,13-Aug-2002,0,15,1,13-Aug-2002
931480600030,3,PURI,PURI,OPEN WILL,13-Jun-2006,13-Jun-2006,0,30,1,13-Jun-2006
931080600048,3,KHORDHA,KHORDHA(BBSR),OPEN WILL,30-Mar-2006,30-Mar-2006,0,48,1,30-Mar-2006
930390100015,3,KATAKA,KATAKA,OPEN WILL,20-Feb-2001,20-Feb-2001,0,15,1,20-Feb-2001
930590000012,3,GANJAM,BHANJANAGAR,OPEN WILL,25-Apr-2000,25-Apr-2000,0,12,22,25-Apr-2000
931580600022,3,RAYAGADA,RAYAGADA,OPEN WILL,01-Jun-2006,01-Jun-2006,0,22,09,01-Jun-2006
930610400124,3,GANJAM,BRAHMAPUR-I,OPEN WILL,23-Jul-2004,23-Jul-2004,0,124,69,23-Jul-2004
930630000047,3,GANJAM,DIGAPAHANDI,OPEN WILL,01-Dec-2000,01-Dec-2000,0,47,21,01-Dec-2000
931170100042,3,KORAPUT,JAYAPUR,OPEN WILL,22-Oct-2001,22-Oct-2001,0,42,19,22-Oct-2001
931620400056,3,SAMBALPUR,SAMBALPUR,OPEN WILL,01-Jun-2004,01-Jun-2004,0,56,2,01-Jun-2004
930860000078,3,JHARSUGUDA,JHARSUGUDA,OPEN WILL,12-Oct-2000,12-Oct-2000,0,78,11,12-Oct-2000
931260500031,3,MAYURBHANJ,MAYURBHANJ,OPEN WILL,09-May-2005,09-May-2005,0,31,1,09-May-2005
930310000034,3,BALANGIR,BALANGIR,OPEN WILL,30-May-2000,30-May-2000,0,34,3,30-May-2000
930370200031,3,BOUDH,BOUDH,OPEN WILL,28-Aug-2002,28-Aug-2002,0,31,3,28-Aug-2002
931620300087,3,SAMBALPUR,SAMBALPUR,OPEN WILL,06-Nov-2003,06-Nov-2003,0,87,25,06-Nov-2003
930880100012,3,KALAHANDI,BHABANIPATANA,OPEN WILL,28-Mar-2001,28-Mar-2001,200000,12,5,28-Mar-2001
930610400181,3,GANJAM,BRAHMAPUR-I,OPEN WILL,25-Nov-2004,25-Nov-2004,0,181,70,25-Nov-2004
930310400032,3,BALANGIR,BALANGIR,OPEN WILL,04-May-2004,04-May-2004,0,32,2,04-May-2004
931620100003,3,SAMBALPUR,SAMBALPUR,OPEN WILL,25-Jan-2001,25-Jan-2001,0,3,16,25-Jan-2001
931360500013,3,NABARANGPUR,UMARKOT,OPEN WILL,13-Jun-2005,13-Jun-2005,0,13,6,13-Jun-2005
931260300008,3,MAYURBHANJ,MAYURBHANJ,OPEN WILL,15-Mar-2003,15-Mar-2003,0,8,1,15-Mar-2003
931700600177,3,SUNDARAGADA,SUNDARAGADA,OPEN WILL,27-Sep-2006,27-Sep-2006,0,177,6,27-Sep-2006
930860300018,3,JHARSUGUDA,JHARSUGUDA,OPEN WILL,05-May-2003,05-May-2003,0,18,1,05-May-2003
930370300015,3,BOUDH,BOUDH,OPEN WILL,31-Mar-2003,31-Mar-2003,0,15,2,31-Mar-2003
930570500352,3,GANJAM,CHHATRAPUR,OPEN WILL,01-Feb-2005,01-Feb-2005,0,352,50,01-Feb-2005
930680600008,3,GANJAM,PURUSOTTAMPUR,OPEN WILL,30-Mar-2006,30-Mar-2006,0,8,29,30-Mar-2006
930880500017,3,KALAHANDI,BHABANIPATANA,OPEN WILL,15-Apr-2005,15-Apr-2005,0,17,9,15-Apr-2005
931230400010,3,MALKANGIRI,MALKANAGIRI,OPEN WILL,24-May-2004,24-May-2004,0,10,1,24-May-2004
930390200043,3,KATAKA,KATAKA,OPEN WILL,19-Jun-2002,19-Jun-2002,0,43,2,19-Jun-2002
931080400093,3,KHORDHA,KHORDHA(BBSR),OPEN WILL,01-Nov-2004,01-Nov-2004,0,93,3,01-Nov-2004
930860300009,3,JHARSUGUDA,JHARSUGUDA,OPEN WILL,20-Feb-2003,20-Feb-2003,0,9,1,20-Feb-2003
931000200002,3,KENDUJHAR,KENDUJHAR,OPEN WILL,06-Mar-2002,06-Mar-2002,0,2,1,06-Mar-2002
931200600055,3,KORAPUT,KOTPAD,OPEN WILL,26-Sep-2006,26-Sep-2006,0,55,15,26-Sep-2006
931700600086,3,SUNDARAGADA,SUNDARAGADA,OPEN WILL,24-Apr-2006,24-Apr-2006,0,86,3,24-Apr-2006
931620000018,3,SAMBALPUR,SAMBALPUR,OPEN WILL,06-Mar-2000,06-Mar-2000,0,18,15,06-Mar-2000
931080400109,3,KHORDHA,KHORDHA(BBSR),CANCELLATION OF OPEN WILL,27-Nov-2004,27-Nov-2004,0,109,4,27-Nov-2004
931660400047,3,SUBARNAPUR,SONPUR,OPEN WILL,25-Nov-2004,25-Nov-2004,0,47,2,25-Nov-2004
931170500030,3,KORAPUT,JAYAPUR,OPEN WILL,29-Apr-2005,29-Apr-2005,0,30,25,29-Apr-2005
930860500061,3,JHARSUGUDA,JHARSUGUDA,OPEN WILL,27-Aug-2005,27-Aug-2005,0,61,2,27-Aug-2005
930650600005,3,GANJAM,KABISURYANAGAR,OPEN WILL,03-Feb-2006,03-Feb-2006,0,5,18,03-Feb-2006
931480100019,3,PURI,PURI,OPEN WILL,19-Jun-2001,19-Jun-2001,0,19,1,19-Jun-2001
930310600052,3,BALANGIR,BALANGIR,OPEN WILL,23-Jun-2006,23-Jun-2006,0,52,3,23-Jun-2006
931690600002,3,SUBARNAPUR,RAMPUR,OPEN WILL,24-Jan-2006,24-Jan-2006,0,2,1,24-Jan-2006
931330100022,3,NABARANGPUR,NABARANGPUR,OPEN WILL,17-Oct-2001,17-Oct-2001,3900,22,10,17-Oct-2001
930370200023,3,BOUDH,BOUDH,OPEN WILL,24-Jul-2002,24-Jul-2002,0,23,2,24-Jul-2002
930490600018,3,DEBAGADA,DEBAGADA,OPEN WILL,18-Jul-2006,18-Jul-2006,0,18,1,18-Jul-2006
931000500011,3,KENDUJHAR,KENDUJHAR,OPEN WILL,01-Aug-2005,01-Aug-2005,0,11,1,01-Aug-2005
931420200010,3,NUAPADA,NUAPADA,OPEN WILL,15-Apr-2002,15-Apr-2002,0,10,3,15-Apr-2002
931330400042,3,NABARANGPUR,NABARANGPUR,OPEN WILL,01-Nov-2004,01-Nov-2004,15000,42,13,01-Nov-2004
931350200010,3,NABARANGPUR,KODINGA,OPEN WILL,19-Jul-2002,19-Jul-2002,0,10,1,19-Jul-2002
930390300056,3,KATAKA,KATAKA,OPEN WILL,22-Oct-2003,22-Oct-2003,0,56,3,22-Oct-2003
930670300008,3,GANJAM,PATRAPUR,OPEN WILL,05-Apr-2003,05-Apr-2003,0,8,22,05-Apr-2003
930710200019,3,GANJAM,CHIKITI,OPEN WILL,14-Jun-2002,14-Jun-2002,0,19,5,14-Jun-2002
931700100037,3,SUNDARAGADA,SUNDARAGADA,OPEN WILL,19-Jun-2001,19-Jun-2001,0,37,2,19-Jun-2001
931670500012,3,SUBARNAPUR,BIRMAHARAJPUR,OPEN WILL,04-Apr-2005,04-Apr-2005,0,12,2,04-Apr-2005
930670100002,3,GANJAM,PATRAPUR,OPEN WILL,25-Jan-2001,25-Jan-2001,0,2,20,25-Jan-2001
931690200018,3,SUBARNAPUR,RAMPUR,OPEN WILL,17-Sep-2002,17-Sep-2002,0,18,1,17-Sep-2002
930830400005,3,JAJPUR,MANSADA,OPEN WILL,26-Oct-2004,26-Oct-2004,0,5,2,26-Oct-2004
931480600055,3,PURI,PURI,OPEN WILL,20-Dec-2006,20-Dec-2006,0,55,2,20-Dec-2006
930570500439,3,GANJAM,CHHATRAPUR,OPEN WILL,08-Feb-2005,08-Feb-2005,0,439,50,08-Feb-2005
931620600004,3,SAMBALPUR,SAMBALPUR,OPEN WILL,04-Jan-2006,04-Jan-2006,0,4,1,04-Jan-2006
930390200007,3,KATAKA,KATAKA,OPEN WILL,25-Jan-2002,25-Jan-2002,0,7,1,25-Jan-2002
930880500051,3,KALAHANDI,BHABANIPATANA,OPEN WILL,05-Dec-2005,05-Dec-2005,0,51,11,05-Dec-2005
931330600014,3,NABARANGPUR,NABARANGPUR,OPEN WILL,28-Mar-2006,28-Mar-2006,500,14,16,28-Mar-2006
930570400590,3,GANJAM,CHHATRAPUR,OPEN WILL,01-Mar-2004,01-Mar-2004,0,590,47,01-Mar-2004
931700300048,3,SUNDARAGADA,SUNDARAGADA,OPEN WILL,05-Apr-2003,05-Apr-2003,0,48,2,05-Apr-2003
930480100001,3,KATAKA,TIGIRIA,OPEN WILL,27-Nov-2001,27-Nov-2001,0,1,1,27-Nov-2001
931620500032,3,SAMBALPUR,SAMBALPUR,OPEN WILL,15-Mar-2005,15-Mar-2005,0,32,2,15-Mar-2005
931680100007,3,SUBARNAPUR,BINIKA,OPEN WILL,12-Oct-2001,12-Oct-2001,0,7,1,12-Oct-2001
930880400017,3,KALAHANDI,BHABANIPATANA,OPEN WILL,29-May-2004,29-May-2004,182000,17,8,29-May-2004
931200600040,3,KORAPUT,KOTPAD,OPEN WILL,23-Jun-2006,23-Jun-2006,0,40,14,23-Jun-2006
931370600052,3,NAYAGADA,NAYAGADA,OPEN WILL,15-Nov-2006,15-Nov-2006,0,52,2,15-Nov-2006
930620200010,3,GANJAM,BUGUDA,OPEN WILL,10-Apr-2002,10-Apr-2002,0,10,14,10-Apr-2002
930310600012,3,BALANGIR,BALANGIR,OPEN WILL,28-Jan-2006,28-Jan-2006,0,12,2,28-Jan-2006
931700500022,3,SUNDARAGADA,SUNDARAGADA,OPEN WILL,23-Feb-2005,23-Feb-2005,0,22,1,23-Feb-2005
930680600041,3,GANJAM,PURUSOTTAMPUR,OPEN WILL,30-Dec-2006,30-Dec-2006,0,41,30,30-Dec-2006
930310600035,3,BALANGIR,BALANGIR,OPEN WILL,01-May-2006,01-May-2006,0,35,2,01-May-2006
930610300119,3,GANJAM,BRAHMAPUR-I,OPEN WILL,24-Jul-2003,24-Jul-2003,0,119,64,24-Jul-2003
931620200057,3,SAMBALPUR,SAMBALPUR,OPEN WILL,19-Jul-2002,19-Jul-2002,0,57,20,19-Jul-2002
930850400002,3,JAJPUR,MANGALPUR,OPEN WILL,24-Feb-2004,24-Feb-2004,0,2,1,24-Feb-2004
930630300016,3,GANJAM,DIGAPAHANDI,OPEN WILL,21-Mar-2003,21-Mar-2003,0,16,23,21-Mar-2003
931620000052,3,SAMBALPUR,SAMBALPUR,OPEN WILL,29-Jun-2000,29-Jun-2000,0,52,15,29-Jun-2000
931080600153,3,KHORDHA,KHORDHA(BBSR),CANCELLATION OF OPEN WILL,20-Dec-2006,20-Dec-2006,0,153,3,20-Dec-2006
931370500076,3,NAYAGADA,NAYAGADA,OPEN WILL,20-Dec-2005,20-Dec-2005,0,76,02,20-Dec-2005
930680400028,3,GANJAM,PURUSOTTAMPUR,OPEN WILL,15-Jul-2004,15-Jul-2004,0,28,26,15-Jul-2004
930310100037,3,BALANGIR,BALANGIR,OPEN WILL,29-Jun-2001,29-Jun-2001,0,37,1,29-Jun-2001
930380100007,3,BOUDH,KANTAMAL,OPEN WILL,15-Nov-2001,15-Nov-2001,0,7,1,15-Nov-2001
931190400010,3,KORAPUT,KORAPUT,OPEN WILL,01-Jun-2004,01-Jun-2004,0,10,1,01-Jun-2004
930680300043,3,GANJAM,PURUSOTTAMPUR,OPEN WILL,26-Dec-2003,26-Dec-2003,0,43,25,26-Dec-2003
931620500131,3,SAMBALPUR,SAMBALPUR,OPEN WILL,30-Dec-2005,30-Dec-2005,0,131,5,30-Dec-2005
930370300040,3,BOUDH,BOUDH,OPEN WILL,22-Oct-2003,22-Oct-2003,0,40,3,22-Oct-2003
930310000022,3,BALANGIR,BALANGIR,OPEN WILL,01-May-2000,01-May-2000,0,22,2,01-May-2000
930630000002,3,GANJAM,DIGAPAHANDI,OPEN WILL,11-Jan-2000,11-Jan-2000,0,2,20,11-Jan-2000
931700500136,3,SUNDARAGADA,SUNDARAGADA,OPEN WILL,01-Sep-2005,01-Sep-2005,0,136,5,01-Sep-2005
931510200001,3,PURI,KAKATPUR,OPEN WILL,01-Jan-2002,01-Jan-2002,0,1,1,01-Jan-2002
930860600027,3,JHARSUGUDA,JHARSUGUDA,OPEN WILL,04-Apr-2006,04-Apr-2006,0,27,1,04-Apr-2006
930880200028,3,KALAHANDI,BHABANIPATANA,OPEN WILL,22-Oct-2002,22-Oct-2002,0,28,7,22-Oct-2002
931620500080,3,SAMBALPUR,SAMBALPUR,OPEN WILL,22-Aug-2005,22-Aug-2005,0,80,3,22-Aug-2005
931370500043,3,NAYAGADA,NAYAGADA,OPEN WILL,27-Jun-2005,27-Jun-2005,0,43,2,27-Jun-2005
931670600017,3,SUBARNAPUR,BIRMAHARAJPUR,OPEN WILL,01-Nov-2006,01-Nov-2006,0,17,1,01-Nov-2006
931370100017,3,NAYAGADA,NAYAGADA,OPEN WILL,15-May-2001,15-May-2001,0,17,1,15-May-2001
931370500039,3,NAYAGADA,NAYAGADA,OPEN WILL,13-Jun-2005,13-Jun-2005,0,39,01,13-Jun-2005
930930600015,3,KENDRAPADA,KENDRAPADA,OPEN WILL,15-Nov-2006,15-Nov-2006,0,15,1,15-Nov-2006
931080400080,3,KHORDHA,KHORDHA(BBSR),OPEN WILL,15-Sep-2004,15-Sep-2004,0,80,3,15-Sep-2004
930260000002,3,BHADRAK,BANTA,OPEN WILL,11-Dec-2000,11-Dec-2000,0,2,1,11-Dec-2000
930370500046,3,BOUDH,BOUDH,OPEN WILL,26-Oct-2005,26-Oct-2005,0,46,3,26-Oct-2005
931670000006,3,SUBARNAPUR,BIRMAHARAJPUR,OPEN WILL,31-Mar-2000,31-Mar-2000,0,6,2,31-Mar-2000
