registration_no,book_no,district,office,deed_type,registration_date,presentation_date,consideration_amount,old_reg_no,deed_volume_no,listed_on
910130300236,1,BALESHWAR,SIMULIA,SALE IMMOVABLE,24-Feb-2003,24-Feb-2003,50000,236,15,24-Feb-2003
911490000164,1,PURI,BRAHMAGIRI,SALE IMMOVABLE,31-Jan-2000,31-Jan-2000,18720,164,5,31-Jan-2000
910600505076,1,GANJAM,BRAHMAPUR-II,SALE IMMOVABLE,05-Nov-2005,05-Nov-2005,145860,5076,3605,05-Nov-2005
911590300468,1,RAYAGADA,BISAM CUTTACK,SALE IMMOVABLE,01-Aug-2003,01-Aug-2003,3450,468,394,01-Aug-2003
910430301034,1,KATAKA,JAGATPUR,SALE IMMOVABLE,24-Jun-2003,24-Jun-2003,54000,1034,60,24-Jun-2003
911480001109,1,PURI,PURI,SALE IMMOVABLE,31-Mar-2000,31-Mar-2000,5000,1109,36,31-Mar-2000
910280601101,1,BHADRAK,DHAMNAGAR,SALE IMMOVABLE,28-Oct-2006,28-Oct-2006,26000,1101,57,28-Oct-2006
911220500551,1,KORAPUT,NANDPUR(POTTANGI),SALE IMMOVABLE,18-Jul-2005,18-Jul-2005,20000,551,249,18-Jul-2005
910460101528,1,KATAKA,NIALI,SALE IMMOVABLE,01-Jun-2001,01-Jun-2001,3900,1528,42,01-Jun-2001
910390000805,1,KATAKA,KATAKA,SALE IMMOVABLE,15-Mar-2000,15-Mar-2000,45000,805,31,15-Mar-2000
911390100362,1,NAYAGADA,KHANDAPARA,SALE IMMOVABLE,20-Feb-2001,20-Feb-2001,25500,362,12,20-Feb-2001
910600500503,1,GANJAM,BRAHMAPUR-II,SALE IMMOVABLE,16-Feb-2005,11-Oct-2005,25390,503,3448,11-Oct-2005
911330200055,1,NABARANGPUR,NABARANGPUR,SALE IMMOVABLE,10-Jan-2002,10-Jan-2002,8000,55,1356,10-Jan-2002
911650600763,1,SAMBALPUR,RENGALI,SALE IMMOVABLE,26-Sep-2006,26-Sep-2006,56000,763,53,26-Sep-2006
910310301540,1,BALANGIR,BALANGIR,SALE IMMOVABLE,15-Jul-2003,15-Jul-2003,3000,1540,73,15-Jul-2003
910760500408,1,JAGATSINGHPUR,RAGHUNATHPUR,SALE IMMOVABLE,30-Mar-2005,30-Mar-2005,16800,408,27,30-Mar-2005
910240400198,1,BHADRAK,BASUDEVPUR,SALE IMMOVABLE,28-Jan-2004,28-Jan-2004,22500,198,12,28-Jan-2004
910470101625,1,KATAKA,SALEPUR,SALE IMMOVABLE,25-May-2001,25-May-2001,32000,1625,48,25-May-2001
911080608209,1,KHORDHA,KHORDHA(BBSR),SALE IMMOVABLE,02-Aug-2006,02-Aug-2006,100000,8209,261,02-Aug-2006
911080102701,1,KHORDHA,KHORDHA(BBSR),SALE IMMOVABLE,10-Apr-2001,10-Apr-2001,92800,2701,113,10-Apr-2001
910550200113,1,GAJAPATI,PARALAKHEMUNDI,SALE IMMOVABLE,20-Feb-2002,20-Feb-2002,14040,113,1,20-Feb-2002
911480300718,1,PURI,PURI,RECONVEYANCE OF MORTGAGE,20-Feb-2003,20-Feb-2003,20000,718,34,20-Feb-2003
911570200024,1,PURI,KRUSHNAPRASAD,SALE IMMOVABLE,01-Mar-2002,01-Mar-2002,9000,24,1,01-Mar-2002
911090000028,1,KHORDHA,BALIPATNA,SALE IMMOVABLE,11-Jan-2000,11-Jan-2000,10000,28,1,11-Jan-2000
911360000113,1,NABARANGPUR,UMARKOT,SALE IMMOVABLE,31-Jan-2000,31-Jan-2000,30000,113,300,31-Jan-2000
910620000375,1,GANJAM,BUGUDA,SALE IMMOVABLE,25-Feb-2000,25-Feb-2000,0,375,1737,25-Feb-2000
910590204066,1,GANJAM,BHANJANAGAR,SALE IMMOVABLE,28-Dec-2002,28-Dec-2002,10500,4066,2699,28-Dec-2002
911480004649,1,PURI,PURI,SALE IMMOVABLE,06-Dec-2000,06-Dec-2000,15000,4649,142,06-Dec-2000
910030100350,1,ANUGOLA,CHHENDIPADA,SALE IMMOVABLE,10-May-2001,10-May-2001,21115,350,10,10-May-2001
910270301430,1,BHADRAK,CHANDBALI,SALE IMMOVABLE,04-Jul-2003,04-Jul-2003,3700,1430,64,04-Jul-2003
910680402077,1,GANJAM,PURUSOTTAMPUR,SALE IMMOVABLE,12-Aug-2004,12-Aug-2004,14256,2077,2240,12-Aug-2004
910680000532,1,GANJAM,PURUSOTTAMPUR,SALE IMMOVABLE,28-Mar-2000,28-Mar-2000,10488,532,1817,28-Mar-2000
911080001111,1,KHORDHA,KHORDHA(BBSR),SALE IMMOVABLE,01-Mar-2000,01-Mar-2000,34500,1111,43,01-Mar-2000
911080602940,1,KHORDHA,KHORDHA(BBSR),SALE IMMOVABLE,20-Mar-2006,20-Mar-2006,7000,2940,94,20-Mar-2006
910390102024,1,KATAKA,KATAKA,SALE IMMOVABLE,27-Apr-2001,27-Apr-2001,61000,2024,74,27-Apr-2001
911170400632,1,KORAPUT,JAYAPUR,SALE IMMOVABLE,20-Mar-2004,20-Mar-2004,3500,632,2279,20-Mar-2004
910070500904,1,BALESHWAR,BALIAPAL,SALE IMMOVABLE,29-Apr-2005,29-Apr-2005,60000,904,44,29-Apr-2005
911130504899,1,KHORDHA,KHANDAGIRI,MORTGAGE WITHOUT POSSESION,17-Aug-2005,17-Aug-2005,142000,4899,319,17-Aug-2005
911140102270,1,KHORDHA,KHORDHA,SALE IMMOVABLE,07-Sep-2001,07-Sep-2001,14500,2270,53,07-Sep-2001
910590400174,1,GANJAM,BHANJANAGAR,SALE IMMOVABLE,20-Jan-2004,20-Jan-2004,1130,174,2799,20-Jan-2004
911170302161,1,KORAPUT,JAYAPUR,SALE IMMOVABLE,21-Nov-2003,21-Nov-2003,30000,2161,2238,21-Nov-2003
910250300145,1,BHADRAK,BHANDARIPOKHARI,SALE IMMOVABLE,15-Feb-2003,15-Feb-2003,12000,145,4,15-Feb-2003
911600000022,1,RAYAGADA,GUNUPUR,SALE IMMOVABLE,26-Jan-2000,26-Jan-2000,8000,22,567,26-Jan-2000
911720000558,1,SUNDARAGADA,BANAIGADA,SALE IMMOVABLE,06-Nov-2000,06-Nov-2000,7500,558,17,06-Nov-2000
911480405352,1,PURI,PURI,SALE IMMOVABLE,30-Nov-2004,30-Nov-2004,100000,5352,247,30-Nov-2004
910680600963,1,GANJAM,PURUSOTTAMPUR,SALE IMMOVABLE,01-May-2006,01-May-2006,15500,963,2450,01-May-2006
911080004117,1,KHORDHA,KHORDHA(BBSR),SALE IMMOVABLE,24-Jul-2000,24-Jul-2000,38700,4117,165,24-Jul-2000
910780401275,1,JAJPUR,JAJPUR,SALE IMMOVABLE,28-Jun-2004,28-Jun-2004,2260,1275,34,28-Jun-2004
911080407369,1,KHORDHA,KHORDHA(BBSR),POA WITH POSSESSION,28-Jul-2004,28-Jul-2004,1000,7369,478,28-Jul-2004
910960400292,1,KENDRAPADA,MARSAGHAI,SALE IMMOVABLE,01-Mar-2004,01-Mar-2004,8480,292,13,01-Mar-2004
910130200212,1,BALESHWAR,SIMULIA,SALE IMMOVABLE,01-Mar-2002,01-Mar-2002,10000,212,9,01-Mar-2002
910790301271,1,JAJPUR,BARACHANA,SALE IMMOVABLE,27-Sep-2003,27-Sep-2003,4175,1271,38,27-Sep-2003
911130101514,1,KHORDHA,KHANDAGIRI,SALE IMMOVABLE,15-Mar-2001,15-Mar-2001,27000,1514,62,15-Mar-2001
910060508532,1,BALESHWAR,BALESHWAR,SALE IMMOVABLE,28-Dec-2005,28-Dec-2005,132660,8532,352,28-Dec-2005
910790500062,1,JAJPUR,BARACHANA,SALE IMMOVABLE,15-Jan-2005,15-Jan-2005,60000,62,3,15-Jan-2005
910230500458,1,BHADRAK,BHADRAK,SALE IMMOVABLE,01-Feb-2005,01-Feb-2005,18000,458,29,01-Feb-2005
911580101047,1,RAYAGADA,RAYAGADA,SALE IMMOVABLE,05-Jan-2001,05-Jan-2001,30500,1047,32,05-Jan-2001
911140302111,1,KHORDHA,KHORDHA,SALE IMMOVABLE,22-Oct-2003,22-Oct-2003,55440,2111,90,22-Oct-2003
911130401265,1,KHORDHA,KHANDAGIRI,SALE IMMOVABLE,15-Mar-2004,15-Mar-2004,40000,1265,86,15-Mar-2004
910910002099,1,KALAHANDI,M.RAMPUR,GIFT IMMOVABLE,17-Oct-2000,17-Oct-2000,3000,2099,413,17-Oct-2000
911260503489,1,MAYURBHANJ,MAYURBHANJ,SALE IMMOVABLE,31-Oct-2005,31-Oct-2005,44000,3489,105,31-Oct-2005
911160100621,1,KHORDHA,BOLAGADA,SALE IMMOVABLE,28-May-2001,28-May-2001,125120,621,13,28-May-2001
910570002219,1,GANJAM,CHHATRAPUR,SALE IMMOVABLE,24-Jul-2000,24-Jul-2000,2015,2219,2227,24-Jul-2000
910660401130,1,GANJAM,KHALLIKOTE,SALE IMMOVABLE,24-May-2004,24-May-2004,63875,1130,1309,24-May-2004
911480203894,1,PURI,PURI,SALE IMMOVABLE,01-Oct-2002,01-Oct-2002,30000,3894,131,01-Oct-2002
911530201468,1,PURI,PIPILI,SALE IMMOVABLE,29-Jul-2002,29-Jul-2002,13750,1468,39,29-Jul-2002
911080611545,1,KHORDHA,KHORDHA(BBSR),POA WITH POSSESSION,15-Nov-2006,15-Nov-2006,1000,11545,368,15-Nov-2006
911080107371,1,KHORDHA,KHORDHA(BBSR),SALE IMMOVABLE,26-Nov-2001,26-Nov-2001,9600,7371,309,26-Nov-2001
911370202830,1,NAYAGADA,NAYAGADA,SALE IMMOVABLE,19-Jul-2002,19-Jul-2002,6960,2830,83,19-Jul-2002
910140301787,1,BALESHWAR,SORA,SALE IMMOVABLE,28-May-2003,28-May-2003,39350,1787,69,28-May-2003
910270301375,1,BHADRAK,CHANDBALI,SALE IMMOVABLE,27-Jun-2003,27-Jun-2003,8800,1375,62,27-Jun-2003
911650500922,1,SAMBALPUR,RENGALI,SALE IMMOVABLE,20-Dec-2005,20-Dec-2005,16500,922, ,20-Dec-2005
910340000914,1,BALANGIR,KANTABANJHI,SALE IMMOVABLE,12-Sep-2000,12-Sep-2000,6000,914,27,12-Sep-2000
910260500185,1,BHADRAK,BANTA,SALE IMMOVABLE,28-Mar-2005,28-Mar-2005,25500,185,10,28-Mar-2005
910860201100,1,JHARSUGUDA,JHARSUGUDA,SALE IMMOVABLE,24-Jun-2002,24-Jun-2002,4500,1100,43,24-Jun-2002
910170200220,1,BARAGADA,PADMAPUR,SALE IMMOVABLE,01-Jan-2002,01-Jan-2002,12000,220,338,01-Jan-2002
910080401370,1,BALESHWAR,BASTA,SALE IMMOVABLE,03-Jun-2004,03-Jun-2004,32670,1370,83,03-Jun-2004
911300001287,1,MAYURBHANJ,KARANJIA,SALE IMMOVABLE,12-Oct-2000,12-Oct-2000,10000,1287,43,12-Oct-2000
911740600260,1,SUNDARAGADA,HEMGIRI,SALE IMMOVABLE,15-Dec-2006,15-Dec-2006,10000,260,21,15-Dec-2006
911530102029,1,PURI,PIPILI,SALE IMMOVABLE,01-Oct-2001,01-Oct-2001,66600,2029,51,01-Oct-2001
910110101293,1,BALESHWAR,KHAIRA,SALE IMMOVABLE,19-Jun-2001,19-Jun-2001,6000,1293,20,19-Jun-2001
911130606884,1,KHORDHA,KHANDAGIRI,SALE IMMOVABLE,11-Sep-2006,11-Sep-2006,100000,6884,462,11-Sep-2006
910860000042,1,JHARSUGUDA,JHARSUGUDA,SALE IMMOVABLE,11-Jan-2000,11-Jan-2000,34000,42,332,11-Jan-2000
910640300058,1,GANJAM,HINJILIKATU,SALE IMMOVABLE,15-Jan-2003,15-Jan-2003,17463,58,1831,15-Jan-2003
911180200426,1,KORAPUT,BARIGUMA,SALE IMMOVABLE,10-May-2002,10-May-2002,7500,426,377,10-May-2002
911480304957,1,PURI,PURI,SALE IMMOVABLE,01-Dec-2003,01-Dec-2003,11500,4957,203,01-Dec-2003
910810302228,1,JAJPUR,DHARMASHALA,SALE IMMOVABLE,17-Oct-2003,17-Oct-2003,11000,2228,100,17-Oct-2003
911260502895,1,MAYURBHANJ,MAYURBHANJ,SALE IMMOVABLE,17-Aug-2005,17-Aug-2005,83600,2895,88,17-Aug-2005
910660200117,1,GANJAM,KHALLIKOTE,SALE IMMOVABLE,25-Jan-2002,25-Jan-2002,14700,117,1153,25-Jan-2002
910810600980,1,JAJPUR,DHARMASHALA,SALE IMMOVABLE,15-May-2006,15-May-2006,10200,980,59,15-May-2006
911080105960,1,KHORDHA,KHORDHA(BBSR),SALE IMMOVABLE,15-Sep-2001,15-Sep-2001,3000,5960,252,15-Sep-2001
910170001115,1,BARAGADA,PADMAPUR,SALE IMMOVABLE,15-Jul-2000,15-Jul-2000,9000,1115,289,15-Jul-2000
911170600213,1,KORAPUT,JAYAPUR,SALE IMMOVABLE,01-Feb-2006,01-Feb-2006,65000,213,10/2006,01-Feb-2006
910620301985,1,GANJAM,BUGUDA,SALE IMMOVABLE,19-Jul-2003,19-Jul-2003,0,1985,1994,19-Jul-2003
910310101512,1,BALANGIR,BALANGIR,SALE IMMOVABLE,19-Jun-2001,19-Jun-2001,49999,1512,52,19-Jun-2001
911080507696,1,KHORDHA,KHORDHA(BBSR),SALE IMMOVABLE,13-Jul-2005,13-Jul-2005,48000,7696,407,13-Jul-2005
910510500675,1,DHENKANAL,KAMAKSHYANAGAR,SALE IMMOVABLE,27-Jun-2005,27-Jun-2005,30000,675,26,27-Jun-2005
911620302435,1,SAMBALPUR,SAMBALPUR,SALE IMMOVABLE,28-Oct-2003,28-Oct-2003,83000,2435,1267,28-Oct-2003
910600404065,1,GANJAM,BRAHMAPUR-II,SALE IMMOVABLE,27-Sep-2004,27-Sep-2004,10130,4065,3394,27-Sep-2004
911580202289,1,RAYAGADA,RAYAGADA,SALE IMMOVABLE,16-Dec-2002,16-Dec-2002,18000,2289,68,16-Dec-2002
910880100879,1,KALAHANDI,BHABANIPATANA,SALE IMMOVABLE,15-Mar-2001,15-Mar-2001,2750,879,604,15-Mar-2001
911100601956,1,KHORDHA,BANAPUR,SALE IMMOVABLE,06-Sep-2006,06-Sep-2006,22160,1956,69,06-Sep-2006
910490600005,1,DEBAGADA,DEBAGADA,SALE IMMOVABLE,09-Jan-2006,04-Jan-2006,468000,5,1,04-Jan-2006
910090302512,1,BALESHWAR,JALESWAR,SALE IMMOVABLE,08-Aug-2003,08-Aug-2003,26400,2512,121,08-Aug-2003
910310100759,1,BALANGIR,BALANGIR,SALE IMMOVABLE,21-Mar-2001,21-Mar-2001,10000,759,29,21-Mar-2001
910820301075,1,JAJPUR,DOLIPUR,RELEASE - MORE THAN RS.1000,30-Apr-2003,30-Apr-2003,30000,1075,46,30-Apr-2003
910120201791,1,BALESHWAR,NILAGIRI,SALE IMMOVABLE,16-Dec-2002,16-Dec-2002,5000,1791,56,16-Dec-2002
911640200143,1,SAMBALPUR,REDHAKHOL,SALE IMMOVABLE,01-Oct-2002,01-Oct-2002,20000,143,55,01-Oct-2002
911080508346,1,KHORDHA,KHORDHA(BBSR),SALE IMMOVABLE,01-Aug-2005,01-Aug-2005,51660,8346,427,01-Aug-2005
911260403205,1,MAYURBHANJ,MAYURBHANJ,SALE IMMOVABLE,11-Oct-2004,11-Oct-2004,223200,3205,117,11-Oct-2004
910170601404,1,BARAGADA,PADMAPUR,SALE IMMOVABLE,28-Dec-2006,28-Dec-2006,28730,1404,657,28-Dec-2006
911480202925,1,PURI,PURI,SALE IMMOVABLE,09-Jul-2002,09-Jul-2002,38000,2925,93,09-Jul-2002
910780401536,1,JAJPUR,JAJPUR,SALE IMMOVABLE,02-Aug-2004,02-Aug-2004,10000,1536,41,02-Aug-2004
910450000011,1,KATAKA,NARSINGHPUR,SALE IMMOVABLE,06-Jan-2000,06-Jan-2000,17600,11,1,06-Jan-2000
910150502584,1,BARAGADA,BARAGADA,SALE IMMOVABLE,28-Oct-2005,28-Oct-2005,15000,2584,1472,28-Oct-2005
910990300575,1,KENDRAPADA,KANIKA,SALE IMMOVABLE,25-Apr-2003,25-Apr-2003,12500,575,19,25-Apr-2003
910080400543,1,BALESHWAR,BASTA,SALE IMMOVABLE,10-Mar-2004,10-Mar-2004,12700,543,33,10-Mar-2004
910090300833,1,BALESHWAR,JALESWAR,SALE IMMOVABLE,21-Mar-2003,21-Mar-2003,9480,833,41,21-Mar-2003
